Pressure,Depth
9.791852989,0
9.859764524,975.6097561
10.19132432,1992.727944
10.48594646,3008.968869
10.98464788,4027.056664
11.38135583,5008.022347
11.57904032,6023.386008
11.97572519,7022.451029
12.10200501,8019.068946
12.30479148,9034.478778
12.4871931,10031.60458
12.63808249,11734.32757
12.88260824,12026.13323
